income_gross,age,employed,marital_status,is_two_income_couple,number_of_children_under_7,number_of_children_7_and_over,number_of_children,commune,church_affiliation,contribution_pillar_3a,total_insurance_expenses,travel_expenses_main_income,child_care_expenses_third_party,taxable_assets,child_education_expenses,total_tax,delta_3a,delta_childcare,delta_insurance
238125.0,25,False,married,True,0,0,0,Niederhelfenschwil,roman_catholic,24646.0,776.0,5649.0,0.0,3926.0,0.0,43030.13,4063.290000000001,9201.829999999994,1699.5
155934.0,42,False,married,True,2,2,4,Weesen,protestant,31969.0,1414.0,5995.0,4174.0,465618.0,16900.0,3922.17,839.73,3636.57,957.2000000000003
56341.0,55,False,married,False,1,1,2,Sennwald,none,16744.0,1249.0,6712.0,21916.0,166818.0,14764.0,0.0,0.0,0.0,0.0
227640.0,57,True,married,False,2,1,3,Niederhelfenschwil,roman_catholic,2515.0,5767.0,1477.0,2587.0,468063.0,11100.0,36492.75,1655.4000000000015,8200.560000000001,226.25
126338.0,53,False,single,False,2,0,2,Oberriet (SG),none,14431.0,4681.0,6126.0,14381.0,69964.0,0.0,5580.33,3576.1899999999996,2131.11,0.0
112799.0,50,True,single,False,2,2,4,Wil (SG),roman_catholic,2167.0,5103.0,8779.0,19112.0,61370.0,2438.0,1887.57,790.1299999999999,1168.6599999999999,0.0
135197.0,47,False,married,True,0,0,0,Muolen,none,17252.0,1772.0,9683.0,0.0,229274.0,0.0,14207.34,4547.98,6308.900000000001,1099.42
99385.0,41,False,single,False,1,2,3,Sevelen,roman_catholic,31251.0,2345.0,9970.0,1325.0,439600.0,13689.0,0.0,0.0,0.0,0.0
92459.0,55,True,single,False,0,1,1,Zuzwil (SG),none,1092.0,3900.0,6233.0,2713.0,340364.0,17940.0,3784.54,1050.0500000000002,3245.0,0.0
219957.0,23,False,single,False,1,0,1,Vilters-Wangs,roman_catholic,31070.0,87.0,9106.0,8667.0,328134.0,0.0,32166.19,1722.3199999999997,5710.23,946.739999999998
230076.0,23,False,single,False,0,0,0,Untereggen,none,24237.0,5779.0,2385.0,0.0,143899.0,0.0,42130.4,3863.0699999999997,8459.96,0.0
216869.0,32,False,married,True,2,2,4,Buchs (SG),none,30884.0,4918.0,8379.0,13396.0,20075.0,9123.0,15233.34,1378.8899999999994,3349.6499999999996,386.1200000000008
74392.0,26,False,married,True,1,2,3,Oberriet (SG),none,25200.0,2692.0,1552.0,24399.0,367310.0,1060.0,0.0,0.0,0.0,0.0
72469.0,22,False,single,False,2,1,3,Wittenbach,christian_catholic,20372.0,327.0,702.0,18489.0,2189.0,847.0,0.0,0.0,0.0,0.0
78209.0,60,False,married,False,0,1,1,Benken (SG),roman_catholic,15055.0,5880.0,5919.0,13756.0,271506.0,15681.0,0.0,0.0,0.0,0.0
85985.0,49,True,married,False,0,0,0,Widnau,roman_catholic,3346.0,3468.0,5375.0,0.0,349887.0,0.0,7635.42,785.5299999999997,4671.9400000000005,604.3400000000001
86648.0,49,False,married,False,0,1,1,Niederbüren,protestant,36548.0,2845.0,1293.0,3576.0,486702.0,2681.0,536.9,0.0,536.9,433.45
238527.0,33,False,single,False,1,1,2,Steinach,christian_catholic,24439.0,5828.0,4118.0,4603.0,204391.0,16802.0,34141.24,4318.109999999997,7665.579999999998,0.0
77878.0,62,True,married,False,2,0,2,Gommiswald,protestant,3347.0,887.0,2255.0,2857.0,286228.0,0.0,4336.18,764.9900000000002,3764.8,1125.5800000000004
107191.0,46,True,married,True,1,1,2,Rorschach,roman_catholic,1970.0,4724.0,3427.0,16474.0,98486.0,8628.0,4873.74,1135.8599999999997,2030.3599999999997,425.15999999999985
146526.0,48,True,single,False,2,1,3,Tübach,none,5893.0,769.0,9210.0,25506.0,251816.0,14667.0,5247.17,241.8800000000001,184.57999999999993,418.21000000000004
144460.0,33,True,single,False,0,1,1,Uznach,protestant,333.0,695.0,559.0,2161.0,434260.0,16839.0,20193.37,1958.2099999999991,6719.539999999999,676.9199999999983
210814.0,24,False,single,False,1,1,2,Neckertal,roman_catholic,6919.0,399.0,7426.0,27083.0,7341.0,8733.0,26959.87,8865.16,0.0,814.6399999999994
211978.0,52,True,single,False,1,2,3,Degersheim,christian_catholic,5347.0,718.0,5083.0,10947.0,250872.0,19168.0,30292.57,689.0799999999981,5364.259999999998,799.7099999999991
46854.0,64,False,married,False,0,2,2,Sargans,none,30123.0,2327.0,9256.0,19226.0,166814.0,214.0,0.0,0.0,0.0,0.0
178491.0,30,True,married,False,0,2,2,Diepoldsau,none,7362.0,5934.0,9580.0,16679.0,100240.0,16781.0,14037.89,0.0,2276.5999999999985,151.36999999999898
206358.0,64,True,single,False,1,1,2,Uzwil,roman_catholic,3140.0,5012.0,7553.0,1236.0,216889.0,9594.0,34473.28,1503.0699999999997,8673.66,0.0
133251.0,61,False,single,False,0,0,0,Wattwil,roman_catholic,25283.0,1397.0,1925.0,0.0,146029.0,0.0,15733.54,3176.4100000000017,7242.220000000001,505.71000000000095
72765.0,43,True,married,True,1,0,1,Benken (SG),roman_catholic,6724.0,5061.0,8541.0,19127.0,278086.0,0.0,608.79,78.80999999999995,608.79,236.28999999999996
172812.0,39,True,married,True,1,0,1,Sennwald,protestant,2932.0,5287.0,3384.0,27941.0,422239.0,0.0,18421.99,1070.3300000000017,0.0,288.71000000000276
102843.0,42,True,married,True,2,1,3,Nesslau,none,2439.0,3522.0,1201.0,25508.0,192108.0,6811.0,1752.85,680.9299999999998,159.53999999999996,432.5
158241.0,43,True,married,True,0,0,0,Lichtensteig,none,5031.0,3784.0,3915.0,0.0,88753.0,0.0,26644.0,645.75,7449.080000000002,663.4000000000015
31880.0,36,False,single,False,0,0,0,Rapperswil-Jona,protestant,37098.0,2521.0,3075.0,0.0,71203.0,0.0,0.0,0.0,0.0,0.0
161664.0,46,False,single,False,0,0,0,Schmerikon,christian_catholic,28539.0,5890.0,8027.0,0.0,310178.0,0.0,19598.48,2236.6699999999983,7628.699999999999,0.0
223384.0,42,True,married,True,2,1,3,Sennwald,none,4986.0,4692.0,4607.0,26004.0,37088.0,2282.0,22729.98,578.2200000000012,114.48999999999796,346.7599999999984
141565.0,53,True,single,False,1,1,2,Wildhaus-Alt St. Johann,none,5232.0,643.0,9845.0,4620.0,144114.0,16429.0,11798.32,516.75,5117.49,623.4799999999996
191425.0,63,True,married,False,0,0,0,Gommiswald,none,327.0,5779.0,4896.0,0.0,437502.0,0.0,33129.92,2256.1699999999983,8019.25,199.61999999999534
246818.0,58,False,single,False,2,0,2,Lütisburg,none,25993.0,508.0,2219.0,16663.0,270206.0,0.0,35318.27,3539.409999999996,3372.0499999999956,847.5399999999936
206453.0,33,True,single,False,2,0,2,Andwil (SG),protestant,7625.0,292.0,3689.0,3278.0,465782.0,0.0,36929.27,0.0,7846.109999999997,900.1299999999974
178567.0,54,True,married,True,0,2,2,Sevelen,none,5915.0,2290.0,489.0,27234.0,117267.0,2038.0,18055.65,348.6700000000019,0.0,1006.6500000000015
166817.0,32,True,single,False,0,2,2,Niederbüren,none,4244.0,177.0,7596.0,12040.0,349908.0,17912.0,16504.82,793.6399999999994,3766.76,752.6800000000003
164334.0,50,False,single,False,1,2,3,Niederhelfenschwil,none,13921.0,5415.0,2989.0,21289.0,295160.0,8979.0,8018.68,4370.82,1050.79,0.0
117326.0,26,False,married,True,2,0,2,Rüthi (SG),roman_catholic,3392.0,2699.0,7176.0,12746.0,403715.0,0.0,7950.81,6265.52,2890.0,810.8600000000006
147387.0,64,True,single,False,2,1,3,Oberbüren,protestant,1094.0,1120.0,9975.0,25670.0,350440.0,14693.0,7134.09,1319.1000000000004,193.42000000000007,439.9200000000001
160946.0,24,False,single,False,2,0,2,Nesslau,roman_catholic,4120.0,2192.0,824.0,2015.0,175434.0,0.0,23823.76,8846.519999999999,6841.759999999998,271.3899999999994
74435.0,45,False,single,False,1,2,3,Rheineck,roman_catholic,17988.0,2522.0,8873.0,28776.0,481167.0,15039.0,0.0,0.0,0.0,0.0
140684.0,45,True,single,False,1,2,3,Kirchberg (SG),roman_catholic,1880.0,5345.0,9090.0,9180.0,264771.0,19679.0,8651.01,1282.12,4045.7300000000005,0.0
193309.0,31,True,married,True,0,0,0,Vilters-Wangs,roman_catholic,1930.0,1064.0,1554.0,0.0,173507.0,0.0,42651.94,1939.7099999999991,9448.71,1685.25
222349.0,22,False,single,False,1,0,1,Thal,none,25396.0,2630.0,8609.0,14287.0,474967.0,0.0,26128.58,2989.25,3316.300000000003,140.4200000000019
248834.0,47,True,single,False,2,2,4,Wartau,none,3762.0,1111.0,1711.0,16865.0,159724.0,2037.0,40665.78,1276.0400000000009,3472.779999999999,627.489999999998
123972.0,50,False,married,True,1,2,3,Mels,roman_catholic,37520.0,5758.0,7392.0,3090.0,146825.0,821.0,926.3,0.0,926.3,156.29999999999995
41274.0,32,True,single,False,2,1,3,Gaiserwald,roman_catholic,4128.0,285.0,509.0,25559.0,55800.0,12711.0,0.0,0.0,0.0,0.0
114590.0,55,False,married,True,1,0,1,Wittenbach,protestant,12082.0,1383.0,4166.0,4544.0,830.0,0.0,9807.71,5376.139999999999,4931.719999999999,1275.619999999999
93798.0,26,False,married,False,0,0,0,Niederbüren,protestant,1169.0,1998.0,4101.0,0.0,215663.0,0.0,12350.47,8078.94,6308.69,1151.0999999999985
151254.0,55,False,married,True,0,0,0,Grabs,roman_catholic,36566.0,2879.0,8632.0,0.0,341629.0,0.0,12548.55,0.0,6048.719999999999,837.2699999999986
103337.0,31,True,single,False,0,2,2,Neckertal,protestant,388.0,5183.0,7115.0,5740.0,75227.0,12071.0,5927.08,1592.9300000000003,4136.3,0.0
40422.0,35,False,single,False,2,0,2,Altstätten,roman_catholic,32662.0,187.0,1535.0,3318.0,353131.0,0.0,0.0,0.0,0.0,0.0
166432.0,42,False,single,False,1,0,1,Quarten,none,19759.0,28.0,2806.0,25601.0,266625.0,0.0,13563.56,3748.24,217.25,713.039999999999
166206.0,41,False,married,True,2,2,4,Goldach,none,10170.0,3341.0,4544.0,29047.0,301712.0,18188.0,4819.71,4060.75,0.0,564.21
246622.0,25,False,married,True,0,0,0,Oberriet (SG),christian_catholic,31968.0,1778.0,2163.0,0.0,257699.0,0.0,42269.31,1471.2200000000012,8975.949999999997,1307.2900000000009
121085.0,49,False,married,False,2,0,2,Sevelen,roman_catholic,13859.0,4212.0,1654.0,19774.0,362591.0,0.0,5278.97,3949.3700000000003,1406.6800000000003,503.1100000000006
215952.0,52,False,married,True,0,0,0,Walenstadt,protestant,9451.0,756.0,7764.0,0.0,71859.0,0.0,40426.33,9342.27,9207.79,1740.560000000005
177449.0,51,False,single,False,2,1,3,Buchs (SG),roman_catholic,39670.0,5544.0,165.0,16600.0,496542.0,11556.0,8456.91,0.0,2223.2799999999997,0.0
158620.0,38,False,married,True,0,2,2,Marbach (SG),christian_catholic,21448.0,1094.0,2731.0,21648.0,25259.0,8943.0,8736.74,3189.17,1086.0999999999995,1160.58
160804.0,27,False,single,False,1,2,3,Uznach,roman_catholic,2076.0,3574.0,1562.0,6938.0,423695.0,17477.0,14649.08,8544.06,5217.469999999999,0.0
214586.0,32,True,married,False,1,1,2,Lichtensteig,none,4261.0,4354.0,7631.0,17008.0,133837.0,15168.0,29238.15,1009.6599999999999,3066.6800000000003,538.0200000000004
187875.0,64,False,single,False,2,1,3,Widnau,none,498.0,2150.0,5202.0,12840.0,203980.0,18789.0,15109.43,7756.04,3069.8099999999995,208.14999999999964
50695.0,55,True,married,False,0,2,2,Mörschwil,none,1194.0,1592.0,1784.0,20459.0,99770.0,18398.0,0.0,0.0,0.0,0.0
218976.0,64,True,single,False,0,1,1,Mörschwil,none,5155.0,5270.0,6458.0,11371.0,206500.0,10340.0,28590.1,619.3299999999981,4397.389999999999,0.0
49529.0,53,True,married,True,2,2,4,Oberuzwil,roman_catholic,6229.0,5423.0,6994.0,25967.0,430599.0,15961.0,0.0,0.0,0.0,0.0
140633.0,26,False,single,False,1,2,3,Muolen,none,925.0,5928.0,3771.0,24149.0,359656.0,18625.0,5279.75,5223.17,500.53999999999996,0.0
225265.0,49,False,married,False,1,1,2,Oberuzwil,protestant,23239.0,61.0,6017.0,17273.0,467690.0,10085.0,26170.83,3980.760000000002,2823.260000000002,1855.7800000000025
132880.0,24,False,single,False,1,1,2,Lichtensteig,roman_catholic,13290.0,977.0,3077.0,20536.0,23381.0,6789.0,8663.98,5164.01,1430.1699999999992,524.7999999999993
35211.0,63,True,single,False,0,0,0,Mörschwil,none,6028.0,2062.0,2781.0,0.0,239025.0,0.0,870.17,138.62,870.17,140.49
74459.0,63,False,single,False,1,0,1,Mörschwil,roman_catholic,5118.0,271.0,85.0,14444.0,44920.0,0.0,2467.75,2467.75,1467.37,380.9499999999998
241053.0,32,True,married,False,2,0,2,Flawil,roman_catholic,2019.0,1876.0,7648.0,9048.0,438355.0,0.0,48556.31,1931.9300000000003,6392.3499999999985,1412.7699999999968
199988.0,60,False,married,True,2,1,3,Wil (SG),roman_catholic,16404.0,826.0,9412.0,9133.0,111180.0,11057.0,19647.11,5510.0,4833.290000000001,1508.7000000000007
123535.0,26,True,married,True,1,1,2,Oberbüren,roman_catholic,654.0,1519.0,4543.0,4809.0,53333.0,17038.0,10177.69,1638.6200000000008,4907.500000000001,1214.42
112499.0,47,True,married,True,0,2,2,Kaltbrunn,protestant,887.0,4560.0,301.0,23170.0,21581.0,4136.0,5205.29,1261.46,689.9399999999996,421.1199999999999
162740.0,62,False,single,False,0,2,2,Sennwald,roman_catholic,4015.0,1066.0,8464.0,18531.0,89746.0,13013.0,10284.13,6378.299999999999,1741.1099999999988,446.8299999999999
120984.0,24,False,single,False,0,2,2,Schänis,none,22972.0,5247.0,7470.0,10179.0,267434.0,10617.0,3057.25,1993.11,2458.45,0.0
188387.0,32,False,single,False,0,0,0,Andwil (SG),none,37600.0,18.0,7773.0,0.0,164202.0,0.0,24665.82,0.0,7556.419999999998,849.8600000000006
143885.0,34,False,single,False,1,1,2,Oberbüren,protestant,14455.0,790.0,3597.0,3769.0,91251.0,19044.0,10963.57,5020.5,5228.469999999999,592.6700000000001
49671.0,42,True,married,False,0,1,1,Oberriet (SG),roman_catholic,1315.0,1519.0,8743.0,901.0,190066.0,2379.0,1122.71,783.11,1122.71,712.9300000000001
64556.0,61,False,single,False,2,1,3,Balgach,protestant,18600.0,3171.0,5318.0,19813.0,93619.0,16793.0,0.0,0.0,0.0,0.0
247492.0,28,True,married,True,1,1,2,Uznach,none,1223.0,4091.0,3413.0,16774.0,25053.0,18636.0,39260.22,2004.2200000000012,3179.4199999999983,547.489999999998
105328.0,24,True,married,True,0,2,2,Rheineck,roman_catholic,6349.0,1263.0,9237.0,15930.0,218994.0,5744.0,4439.75,191.25,1964.2199999999998,1106.21
170583.0,54,False,married,True,0,0,0,Waldkirch,protestant,2482.0,4787.0,1290.0,0.0,217029.0,0.0,30973.11,10291.060000000001,8166.959999999999,482.51000000000204
63511.0,55,True,single,False,1,0,1,Weesen,roman_catholic,3311.0,4357.0,7195.0,13832.0,151450.0,0.0,940.33,564.07,940.33,0.0
175189.0,50,True,single,False,1,1,2,Wil (SG),roman_catholic,4446.0,1063.0,906.0,20342.0,493091.0,16920.0,18646.82,794.7900000000009,1743.0299999999988,564.5299999999988
158405.0,23,True,single,False,0,2,2,Sevelen,none,5996.0,2717.0,5314.0,22528.0,329997.0,3445.0,14819.34,322.0100000000002,1019.5300000000007,140.13000000000102
96545.0,37,True,married,False,2,2,4,Lichtensteig,protestant,3225.0,897.0,7197.0,17687.0,254467.0,14502.0,0.0,0.0,0.0,0.0
229558.0,36,False,single,False,1,1,2,Häggenschwil,protestant,18574.0,2640.0,2585.0,3774.0,413616.0,1834.0,35321.73,6020.560000000005,7574.670000000002,170.02000000000407
101473.0,50,False,married,True,1,0,1,Amden,roman_catholic,32200.0,1186.0,1624.0,23344.0,469865.0,0.0,588.0,446.52,378.3,588.0
219338.0,54,False,married,True,0,0,0,Waldkirch,roman_catholic,11006.0,1683.0,2835.0,0.0,140552.0,0.0,43725.02,9201.059999999998,9590.079999999994,1479.1399999999994
178442.0,61,True,married,False,2,1,3,Oberbüren,none,5611.0,3494.0,6100.0,22365.0,127553.0,6154.0,14112.49,392.96999999999935,989.3299999999999,633.8099999999995
167605.0,24,False,married,True,1,1,2,Mosnang,roman_catholic,27417.0,3235.0,4000.0,21024.0,437553.0,19248.0,9421.01,2097.1000000000004,1314.8000000000002,749.7600000000002
164250.0,37,False,single,False,2,2,4,Vilters-Wangs,roman_catholic,34264.0,3267.0,7046.0,14694.0,221385.0,12644.0,3331.35,342.8699999999999,1963.07,19.86999999999989
208855.0,36,True,single,False,1,2,3,Wil (SG),none,7390.0,5616.0,9782.0,627.0,372495.0,19934.0,26890.03,0.0,7879.459999999999,0.0
198226.0,32,True,single,False,1,1,2,Muolen,roman_catholic,4849.0,3868.0,6337.0,8679.0,152690.0,5156.0,31018.11,806.5600000000013,5691.510000000002,0.0
131590.0,47,False,single,False,0,0,0,Rorschacherberg,none,32642.0,3425.0,1676.0,0.0,182999.0,0.0,10536.51,795.9200000000001,5446.14,0.0
31651.0,23,False,single,False,2,0,2,Uznach,roman_catholic,27995.0,4646.0,6049.0,3471.0,57672.0,0.0,0.0,0.0,0.0,0.0
115813.0,41,True,single,False,0,2,2,Degersheim,protestant,3208.0,3718.0,8777.0,27987.0,144819.0,19616.0,2211.29,720.5699999999999,0.0,0.0
169185.0,24,True,single,False,1,2,3,Flums,none,2165.0,1341.0,6634.0,13577.0,55922.0,14217.0,16968.82,1383.2600000000002,3459.029999999999,463.22999999999956
213156.0,46,False,single,False,1,1,2,Oberriet (SG),protestant,11803.0,4116.0,7964.0,19580.0,623.0,19840.0,21633.29,6810.3200000000015,1991.8899999999994,0.0
35228.0,64,False,married,False,0,2,2,Sennwald,none,12818.0,1909.0,2969.0,13836.0,88917.0,8495.0,0.0,0.0,0.0,0.0
76195.0,24,False,married,True,1,0,1,Thal,none,36244.0,4927.0,9364.0,12499.0,197335.0,0.0,0.0,0.0,0.0,0.0
100740.0,32,True,married,True,0,1,1,Eschenbach (SG),roman_catholic,7144.0,3419.0,8790.0,27471.0,48047.0,6517.0,2720.53,17.970000000000255,0.0,501.85000000000036
63775.0,35,True,single,False,0,1,1,Au (SG),roman_catholic,694.0,2617.0,8507.0,23238.0,49415.0,696.0,0.0,0.0,0.0,0.0
104379.0,50,True,married,False,0,0,0,Degersheim,none,2147.0,4938.0,5531.0,0.0,269470.0,0.0,13413.81,1318.1299999999992,6510.839999999999,421.40999999999985
130054.0,57,False,single,False,1,1,2,Oberbüren,roman_catholic,29511.0,1963.0,7523.0,6044.0,252089.0,10775.0,3383.74,1074.3999999999996,3076.18,263.30999999999995
195058.0,52,False,single,False,1,1,2,Eschenbach (SG),roman_catholic,25947.0,4508.0,9618.0,3567.0,379865.0,1719.0,21656.71,3001.0599999999977,6492.669999999998,0.0
104194.0,29,False,single,False,0,2,2,Bad Ragaz,none,15940.0,5122.0,1372.0,29632.0,326769.0,3591.0,699.67,699.67,0.0,0.0
128720.0,61,False,single,False,2,2,4,Wittenbach,none,18179.0,1153.0,6171.0,6623.0,236577.0,13121.0,1687.03,1680.84,1687.03,313.8599999999999
238247.0,34,False,married,False,1,2,3,Oberriet (SG),none,14841.0,4263.0,4641.0,797.0,265258.0,989.0,31258.0,6544.630000000001,7702.389999999999,476.9500000000007
234810.0,47,False,single,False,1,0,1,Goldach,none,16746.0,622.0,8266.0,10455.0,280611.0,0.0,32679.13,6097.16,5031.48,675.4099999999999
64706.0,38,True,single,False,0,1,1,Diepoldsau,protestant,2517.0,3836.0,6766.0,25328.0,33039.0,7246.0,0.0,0.0,0.0,0.0
