Einkommen,Einfache Steuer Alleinstehende,EAinProzent,Einfache Steuer gemeinsam Steuerpflichtige,EgSinProzent
21’100,486.00,2.3033%,0.00,0.0000%
21’200,492.00,2.3208%,0.00,0.0000%
21’300,498.00,2.3380%,0.00,0.0000%
21’400,504.00,2.3551%,0.00,0.0000%
21’500,510.00,2.3721%,0.00,0.0000%
21’600,516.00,2.3889%,0.00,0.0000%
21’700,522.00,2.4055%,0.00,0.0000%
21’800,528.00,2.4220%,0.00,0.0000%
21’900,534.00,2.4384%,0.00,0.0000%
22’000,540.00,2.4545%,0.00,0.0000%
22’100,546.00,2.4706%,0.00,0.0000%
22’200,552.00,2.4865%,0.00,0.0000%
22’300,558.00,2.5022%,0.00,0.0000%
22’400,564.00,2.5179%,0.00,0.0000%
22’500,570.00,2.5333%,0.00,0.0000%
22’600,576.00,2.5487%,0.00,0.0000%
22’700,582.00,2.5639%,0.00,0.0000%
22’800,588.00,2.5789%,0.00,0.0000%
22’900,594.00,2.5939%,0.00,0.0000%
23’000,600.00,2.6087%,0.00,0.0000%
23’100,606.00,2.6234%,0.00,0.0000%
23’200,612.00,2.6379%,0.00,0.0000%
23’300,618.00,2.6524%,0.00,0.0000%
23’400,624.00,2.6667%,8.00,0.0342%
23’500,630.00,2.6809%,8.05,0.0342%
23’600,636.00,2.6949%,16.00,0.0678%
23’700,642.00,2.7089%,16.05,0.0678%
23’800,648.00,2.7227%,24.00,0.1008%
23’900,654.00,2.7364%,24.10,0.1008%
24’000,660.00,2.7500%,32.00,0.1333%
24’100,666.00,2.7635%,32.15,0.1333%
24’200,672.00,2.7769%,40.00,0.1653%
24’300,678.00,2.7901%,40.15,0.1653%
24’400,684.00,2.8033%,48.00,0.1967%
24’500,690.00,2.8163%,48.20,0.1967%
24’600,696.00,2.8293%,56.00,0.2276%
24’700,702.00,2.8421%,56.25,0.2276%
24’800,708.00,2.8548%,64.00,0.2581%
24’900,714.00,2.8675%,64.25,0.2581%
25’000,720.00,2.8800%,72.00,0.2880%
25’100,726.00,2.8924%,72.30,0.2880%
25’200,732.00,2.9048%,80.00,0.3175%
25’300,738.00,2.9170%,80.30,0.3175%
25’400,744.00,2.9291%,88.00,0.3465%
25’500,750.00,2.9412%,88.35,0.3465%
25’600,756.00,2.9531%,96.00,0.3750%
25’700,762.00,2.9650%,96.40,0.3750%
25’800,768.00,2.9767%,104.00,0.4031%
25’900,774.00,2.9884%,104.40,0.4031%
26’000,780.00,3.0000%,112.00,0.4308%
26’100,786.00,3.0115%,112.45,0.4308%
26’200,792.00,3.0229%,120.00,0.4580%
26’300,798.00,3.0342%,120.45,0.4580%
26’400,804.00,3.0455%,128.00,0.4848%
26’500,810.00,3.0566%,128.50,0.4848%
26’600,816.00,3.0677%,136.00,0.5113%
26’700,822.00,3.0787%,136.50,0.5113%
26’800,828.00,3.0896%,144.00,0.5373%
26’900,834.00,3.1004%,144.55,0.5373%
27’000,840.00,3.1111%,152.00,0.5630%
27’100,846.00,3.1218%,152.55,0.5630%
27’200,852.00,3.1324%,160.00,0.5882%
27’300,858.00,3.1429%,160.60,0.5882%
27’400,864.00,3.1533%,168.00,0.6131%
27’500,870.00,3.1636%,168.60,0.6131%
27’600,876.00,3.1739%,176.00,0.6377%
27’700,882.00,3.1841%,176.65,0.6377%
27’800,888.00,3.1942%,184.00,0.6619%
27’900,894.00,3.2043%,184.65,0.6619%
28’000,900.00,3.2143%,192.00,0.6857%
28’100,906.00,3.2242%,192.70,0.6857%
28’200,912.00,3.2340%,200.00,0.7092%
28’300,918.00,3.2438%,200.70,0.7092%
28’400,924.00,3.2535%,208.00,0.7324%
28’500,930.00,3.2632%,208.75,0.7324%
28’600,936.00,3.2727%,216.00,0.7552%
28’700,942.00,3.2822%,216.75,0.7552%
28’800,948.00,3.2917%,224.00,0.7778%
28’900,954.00,3.3010%,224.80,0.7778%
29’000,960.00,3.3103%,232.00,0.8000%
29’100,966.00,3.3196%,232.80,0.8000%
29’200,972.00,3.3288%,240.00,0.8219%
29’300,978.00,3.3379%,240.80,0.8219%
29’400,984.00,3.3469%,248.00,0.8435%
29’500,990.00,3.3559%,248.85,0.8435%
29’600,996.00,3.3649%,256.00,0.8649%
29’700,1’002.00,3.3737%,256.85,0.8649%
29’800,1’008.00,3.3826%,264.00,0.8859%
29’900,1’014.00,3.3913%,264.90,0.8859%
30’000,1’020.00,3.4000%,272.00,0.9067%
30’100,1’026.00,3.4086%,272.90,0.9067%
30’200,1’032.00,3.4172%,280.00,0.9272%
30’300,1’038.00,3.4257%,280.95,0.9272%
30’400,1’044.00,3.4342%,288.00,0.9474%
30’500,1’050.00,3.4426%,288.95,0.9474%
30’600,1’056.00,3.4510%,296.00,0.9673%
30’700,1’062.00,3.4593%,296.95,0.9673%
30’800,1’068.00,3.4675%,304.00,0.9870%
30’900,1’074.00,3.4757%,305.00,0.9870%
31’000,1’080.00,3.4839%,312.00,1.0065%
31’100,1’086.00,3.4920%,313.00,1.0065%
31’200,1’092.00,3.5000%,320.00,1.0256%
31’300,1’098.00,3.5080%,321.05,1.0256%
31’400,1’104.00,3.5159%,328.00,1.0446%
31’500,1’110.00,3.5238%,329.05,1.0446%
31’600,1’116.00,3.5316%,336.00,1.0633%
31’700,1’122.00,3.5394%,337.05,1.0633%
31’800,1’128.00,3.5472%,348.00,1.0943%
31’900,1’134.00,3.5549%,349.10,1.0943%
32’000,1’140.00,3.5625%,360.00,1.1250%
32’100,1’146.00,3.5701%,361.15,1.1250%
32’200,1’152.00,3.5776%,372.00,1.1553%
32’300,1’158.00,3.5851%,373.15,1.1553%
32’400,1’164.00,3.5926%,384.00,1.1852%
32’500,1’170.00,3.6000%,385.20,1.1852%
32’600,1’176.00,3.6074%,396.00,1.2147%
32’700,1’182.00,3.6147%,397.20,1.2147%
32’800,1’188.00,3.6220%,408.00,1.2439%
32’900,1’194.00,3.6292%,409.25,1.2439%
33’000,1’200.00,3.6364%,420.00,1.2727%
33’100,1’206.00,3.6435%,421.25,1.2727%
33’200,1’212.00,3.6506%,432.00,1.3012%
33’300,1’218.00,3.6577%,433.30,1.3012%
33’400,1’224.00,3.6647%,444.00,1.3293%
33’500,1’230.00,3.6716%,445.35,1.3293%
33’600,1’236.00,3.6786%,456.00,1.3571%
33’700,1’242.00,3.6855%,457.35,1.3571%
33’800,1’248.00,3.6923%,468.00,1.3846%
33’900,1’256.00,3.7050%,469.40,1.3846%
34’000,1’264.00,3.7176%,480.00,1.4118%
34’100,1’272.00,3.7302%,481.40,1.4118%
34’200,1’280.00,3.7427%,492.00,1.4386%
34’300,1’288.00,3.7551%,493.45,1.4386%
34’400,1’296.00,3.7674%,504.00,1.4651%
34’500,1’304.00,3.7797%,505.45,1.4651%
34’600,1’312.00,3.7919%,516.00,1.4913%
34’700,1’320.00,3.8040%,517.50,1.4913%
34’800,1’328.00,3.8161%,528.00,1.5172%
34’900,1’336.00,3.8281%,529.50,1.5172%
35’000,1’344.00,3.8400%,540.00,1.5429%
35’100,1’352.00,3.8519%,541.55,1.5429%
35’200,1’360.00,3.8636%,552.00,1.5682%
35’300,1’368.00,3.8754%,553.55,1.5682%
35’400,1’376.00,3.8870%,564.00,1.5932%
35’500,1’384.00,3.8986%,565.60,1.5932%
35’600,1’392.00,3.9101%,576.00,1.6180%
35’700,1’400.00,3.9216%,577.60,1.6180%
35’800,1’408.00,3.9330%,588.00,1.6425%
35’900,1’416.00,3.9443%,589.65,1.6425%
36’000,1’424.00,3.9556%,600.00,1.6667%
36’100,1’432.00,3.9668%,601.65,1.6667%
36’200,1’440.00,3.9779%,612.00,1.6906%
36’300,1’448.00,3.9890%,613.70,1.6906%
36’400,1’456.00,4.0000%,624.00,1.7143%
36’500,1’464.00,4.0110%,625.70,1.7143%
36’600,1’472.00,4.0219%,636.00,1.7377%
36’700,1’480.00,4.0327%,637.75,1.7377%
36’800,1’488.00,4.0435%,648.00,1.7609%
36’900,1’496.00,4.0542%,649.75,1.7609%
37’000,1’504.00,4.0649%,660.00,1.7838%
37’100,1’512.00,4.0755%,661.80,1.7838%
37’200,1’520.00,4.0860%,672.00,1.8065%
37’300,1’528.00,4.0965%,673.80,1.8065%
37’400,1’536.00,4.1070%,684.00,1.8289%
37’500,1’544.00,4.1173%,685.85,1.8289%
37’600,1’552.00,4.1277%,696.00,1.8511%
37’700,1’560.00,4.1379%,697.85,1.8511%
37’800,1’568.00,4.1481%,708.00,1.8730%
37’900,1’576.00,4.1583%,709.85,1.8730%
38’000,1’584.00,4.1684%,720.00,1.8947%
38’100,1’592.00,4.1785%,721.90,1.8947%
38’200,1’600.00,4.1885%,732.00,1.9162%
38’300,1’608.00,4.1984%,733.90,1.9162%
38’400,1’616.00,4.2083%,744.00,1.9375%
38’500,1’624.00,4.2182%,745.95,1.9375%
38’600,1’632.00,4.2280%,756.00,1.9585%
38’700,1’640.00,4.2377%,757.95,1.9585%
38’800,1’648.00,4.2474%,768.00,1.9794%
38’900,1’656.00,4.2571%,770.00,1.9794%
39’000,1’664.00,4.2667%,780.00,2.0000%
39’100,1’672.00,4.2762%,782.00,2.0000%
39’200,1’680.00,4.2857%,792.00,2.0204%
39’300,1’688.00,4.2952%,794.00,2.0204%
39’400,1’696.00,4.3046%,804.00,2.0406%
39’500,1’704.00,4.3139%,806.05,2.0406%
39’600,1’712.00,4.3232%,816.00,2.0606%
39’700,1’720.00,4.3325%,818.05,2.0606%
39’800,1’728.00,4.3417%,828.00,2.0804%
39’900,1’736.00,4.3509%,830.10,2.0804%
40’000,1’744.00,4.3600%,840.00,2.1000%
40’100,1’752.00,4.3691%,842.10,2.1000%
40’200,1’760.00,4.3781%,852.00,2.1194%
40’300,1’768.00,4.3871%,854.10,2.1194%
40’400,1’776.00,4.3960%,864.00,2.1386%
40’500,1’784.00,4.4049%,866.15,2.1386%
40’600,1’792.00,4.4138%,876.00,2.1576%
40’700,1’800.00,4.4226%,878.15,2.1576%
40’800,1’808.00,4.4314%,888.00,2.1765%
40’900,1’816.00,4.4401%,890.20,2.1765%
41’000,1’824.00,4.4488%,900.00,2.1951%
41’100,1’832.00,4.4574%,902.20,2.1951%
41’200,1’840.00,4.4660%,912.00,2.2136%
41’300,1’848.00,4.4746%,914.20,2.2136%
41’400,1’856.00,4.4831%,924.00,2.2319%
41’500,1’864.00,4.4916%,926.25,2.2319%
41’600,1’872.00,4.5000%,936.00,2.2500%
41’700,1’880.00,4.5084%,938.25,2.2500%
41’800,1’888.00,4.5167%,948.00,2.2679%
41’900,1’896.00,4.5251%,950.25,2.2679%
42’000,1’904.00,4.5333%,960.00,2.2857%
42’100,1’912.00,4.5416%,962.30,2.2857%
42’200,1’920.00,4.5498%,972.00,2.3033%
42’300,1’928.00,4.5579%,974.30,2.3033%
42’400,1’936.00,4.5660%,984.00,2.3208%
42’500,1’944.00,4.5741%,986.30,2.3208%
42’600,1’952.00,4.5822%,996.00,2.3380%
42’700,1’960.00,4.5902%,998.35,2.3380%
42’800,1’968.00,4.5981%,1’008.00,2.3551%
42’900,1’976.00,4.6061%,1’010.35,2.3551%
43’000,1’984.00,4.6140%,1’020.00,2.3721%
43’100,1’992.00,4.6218%,1’022.35,2.3721%
43’200,2’000.00,4.6296%,1’032.00,2.3889%
43’300,2’008.00,4.6374%,1’034.40,2.3889%
43’400,2’016.00,4.6452%,1’044.00,2.4055%
43’500,2’024.00,4.6529%,1’046.40,2.4055%
43’600,2’032.00,4.6606%,1’056.00,2.4220%
43’700,2’040.00,4.6682%,1’058.40,2.4220%
43’800,2’048.00,4.6758%,1’068.00,2.4384%
43’900,2’056.00,4.6834%,1’070.45,2.4384%
44’000,2’064.00,4.6909%,1’080.00,2.4545%
44’100,2’072.00,4.6984%,1’082.45,2.4545%
44’200,2’080.00,4.7059%,1’092.00,2.4706%
44’300,2’088.00,4.7133%,1’094.45,2.4706%
44’400,2’096.00,4.7207%,1’104.00,2.4865%
44’500,2’104.00,4.7281%,1’106.50,2.4865%
44’600,2’112.00,4.7354%,1’116.00,2.5022%
44’700,2’120.00,4.7427%,1’118.50,2.5022%
44’800,2’128.00,4.7500%,1’128.00,2.5179%
44’900,2’136.00,4.7572%,1’130.50,2.5179%
45’000,2’144.00,4.7644%,1’140.00,2.5333%
45’100,2’152.00,4.7716%,1’142.55,2.5333%
45’200,2’160.00,4.7788%,1’152.00,2.5487%
45’300,2’168.00,4.7859%,1’154.55,2.5487%
45’400,2’176.00,4.7930%,1’164.00,2.5639%
45’500,2’184.00,4.8000%,1’166.55,2.5639%
45’600,2’192.00,4.8070%,1’176.00,2.5789%
45’700,2’200.00,4.8140%,1’178.60,2.5789%
45’800,2’208.00,4.8210%,1’188.00,2.5939%
45’900,2’216.00,4.8279%,1’190.60,2.5939%
46’000,2’224.00,4.8348%,1’200.00,2.6087%
46’100,2’232.00,4.8416%,1’202.60,2.6087%
46’200,2’240.00,4.8485%,1’212.00,2.6234%
46’300,2’248.00,4.8553%,1’214.60,2.6234%
46’400,2’256.00,4.8621%,1’224.00,2.6379%
46’500,2’264.00,4.8688%,1’226.65,2.6379%
46’600,2’272.00,4.8755%,1’236.00,2.6524%
46’700,2’280.00,4.8822%,1’238.65,2.6524%
46’800,2’288.00,4.8889%,1’248.00,2.6667%
46’900,2’296.00,4.8955%,1’250.65,2.6667%
47’000,2’304.00,4.9021%,1’260.00,2.6809%
47’100,2’312.00,4.9087%,1’262.70,2.6809%
47’200,2’320.00,4.9153%,1’272.00,2.6949%
47’300,2’328.00,4.9218%,1’274.70,2.6949%
47’400,2’336.00,4.9283%,1’284.00,2.7089%
47’500,2’344.00,4.9347%,1’286.70,2.7089%
47’600,2’352.00,4.9412%,1’296.00,2.7227%
47’700,2’360.00,4.9476%,1’298.70,2.7227%
47’800,2’368.00,4.9540%,1’308.00,2.7364%
47’900,2’376.00,4.9603%,1’310.75,2.7364%
48’000,2’384.00,4.9667%,1’320.00,2.7500%
48’100,2’392.00,4.9730%,1’322.75,2.7500%
48’200,2’400.00,4.9793%,1’332.00,2.7635%
48’300,2’408.00,4.9855%,1’334.75,2.7635%
48’400,2’416.00,4.9917%,1’344.00,2.7769%
48’500,2’424.00,4.9979%,1’346.80,2.7769%
48’600,2’432.00,5.0041%,1’356.00,2.7901%
48’700,2’440.00,5.0103%,1’358.80,2.7901%
48’800,2’448.00,5.0164%,1’368.00,2.8033%
48’900,2’456.00,5.0225%,1’370.80,2.8033%
49’000,2’464.00,5.0286%,1’380.00,2.8163%
49’100,2’472.00,5.0346%,1’382.80,2.8163%
49’200,2’480.00,5.0407%,1’392.00,2.8293%
49’300,2’488.00,5.0467%,1’394.85,2.8293%
49’400,2’496.00,5.0526%,1’404.00,2.8421%
49’500,2’504.00,5.0586%,1’406.85,2.8421%
49’600,2’512.00,5.0645%,1’416.00,2.8548%
49’700,2’520.00,5.0704%,1’418.85,2.8548%
49’800,2’528.00,5.0763%,1’428.00,2.8675%
49’900,2’536.00,5.0822%,1’430.85,2.8675%
50’000,2’544.00,5.0880%,1’440.00,2.8800%
50’100,2’552.00,5.0938%,1’442.90,2.8800%
50’200,2’560.00,5.0996%,1’452.00,2.8924%
50’300,2’568.00,5.1054%,1’454.90,2.8924%
50’400,2’576.00,5.1111%,1’464.00,2.9048%
50’500,2’584.00,5.1168%,1’466.90,2.9048%
50’600,2’592.00,5.1225%,1’476.00,2.9170%
50’700,2’600.00,5.1282%,1’478.90,2.9170%
50’800,2’608.00,5.1339%,1’488.00,2.9291%
50’900,2’616.00,5.1395%,1’490.95,2.9291%
51’000,2’624.00,5.1451%,1’500.00,2.9412%
51’100,2’632.00,5.1507%,1’502.95,2.9412%
51’200,2’640.00,5.1563%,1’512.00,2.9531%
51’300,2’648.00,5.1618%,1’514.95,2.9531%
51’400,2’656.00,5.1673%,1’524.00,2.9650%
51’500,2’664.00,5.1728%,1’526.95,2.9650%
51’600,2’672.00,5.1783%,1’536.00,2.9767%
51’700,2’680.00,5.1838%,1’539.00,2.9767%
51’800,2’688.00,5.1892%,1’548.00,2.9884%
51’900,2’696.00,5.1946%,1’551.00,2.9884%
52’000,2’704.00,5.2000%,1’560.00,3.0000%
52’100,2’712.00,5.2054%,1’563.00,3.0000%
52’200,2’720.00,5.2107%,1’572.00,3.0115%
52’300,2’728.00,5.2161%,1’575.00,3.0115%
52’400,2’736.00,5.2214%,1’584.00,3.0229%
52’500,2’744.00,5.2267%,1’587.00,3.0229%
52’600,2’752.00,5.2319%,1’596.00,3.0342%
52’700,2’760.00,5.2372%,1’599.05,3.0342%
52’800,2’768.00,5.2424%,1’608.00,3.0455%
52’900,2’776.00,5.2476%,1’611.05,3.0455%
53’000,2’784.00,5.2528%,1’620.00,3.0566%
53’100,2’792.00,5.2580%,1’623.05,3.0566%
53’200,2’800.00,5.2632%,1’632.00,3.0677%
53’300,2’808.00,5.2683%,1’635.05,3.0677%
53’400,2’816.00,5.2734%,1’644.00,3.0787%
53’500,2’824.00,5.2785%,1’647.10,3.0787%
53’600,2’832.00,5.2836%,1’656.00,3.0896%
53’700,2’840.00,5.2886%,1’659.10,3.0896%
53’800,2’848.00,5.2937%,1’668.00,3.1004%
53’900,2’856.00,5.2987%,1’671.10,3.1004%
54’000,2’864.00,5.3037%,1’680.00,3.1111%
54’100,2’872.00,5.3087%,1’683.10,3.1111%
54’200,2’880.00,5.3137%,1’692.00,3.1218%
54’300,2’888.00,5.3186%,1’695.10,3.1218%
54’400,2’896.00,5.3235%,1’704.00,3.1324%
54’500,2’904.00,5.3284%,1’707.15,3.1324%
54’600,2’912.00,5.3333%,1’716.00,3.1429%
54’700,2’920.00,5.3382%,1’719.15,3.1429%
54’800,2’928.00,5.3431%,1’728.00,3.1533%
54’900,2’936.00,5.3479%,1’731.15,3.1533%
55’000,2’944.00,5.3527%,1’740.00,3.1636%
55’100,2’952.00,5.3575%,1’743.15,3.1636%
55’200,2’960.00,5.3623%,1’752.00,3.1739%
55’300,2’968.00,5.3671%,1’755.15,3.1739%
55’400,2’976.00,5.3718%,1’764.00,3.1841%
55’500,2’984.00,5.3766%,1’767.20,3.1841%
55’600,2’992.00,5.3813%,1’776.00,3.1942%
55’700,3’000.00,5.3860%,1’779.20,3.1942%
55’800,3’008.00,5.3907%,1’788.00,3.2043%
55’900,3’016.00,5.3953%,1’791.20,3.2043%
56’000,3’024.00,5.4000%,1’800.00,3.2143%
56’100,3’032.00,5.4046%,1’803.20,3.2143%
56’200,3’040.00,5.4093%,1’812.00,3.2242%
56’300,3’048.00,5.4139%,1’815.20,3.2242%
56’400,3’056.00,5.4184%,1’824.00,3.2340%
56’500,3’064.00,5.4230%,1’827.25,3.2340%
56’600,3’072.00,5.4276%,1’836.00,3.2438%
56’700,3’080.00,5.4321%,1’839.25,3.2438%
56’800,3’088.00,5.4366%,1’848.00,3.2535%
56’900,3’096.00,5.4411%,1’851.25,3.2535%
57’000,3’104.00,5.4456%,1’860.00,3.2632%
57’100,3’112.00,5.4501%,1’863.25,3.2632%
57’200,3’120.00,5.4545%,1’872.00,3.2727%
57’300,3’128.00,5.4590%,1’875.25,3.2727%
57’400,3’136.00,5.4634%,1’884.00,3.2822%
57’500,3’144.00,5.4678%,1’887.30,3.2822%
57’600,3’152.00,5.4722%,1’896.00,3.2917%
57’700,3’160.00,5.4766%,1’899.30,3.2917%
57’800,3’168.00,5.4810%,1’908.00,3.3010%
57’900,3’176.00,5.4853%,1’911.30,3.3010%
58’000,3’184.00,5.4897%,1’920.00,3.3103%
58’100,3’192.00,5.4940%,1’923.30,3.3103%
58’200,3’200.00,5.4983%,1’932.00,3.3196%
58’300,3’208.00,5.5026%,1’935.30,3.3196%
58’400,3’216.00,5.5068%,1’944.00,3.3288%
58’500,3’224.00,5.5111%,1’947.35,3.3288%
58’600,3’232.00,5.5154%,1’956.00,3.3379%
58’700,3’240.00,5.5196%,1’959.35,3.3379%
58’800,3’248.00,5.5238%,1’968.00,3.3469%
58’900,3’256.00,5.5280%,1’971.35,3.3469%
59’000,3’264.00,5.5322%,1’980.00,3.3559%
59’100,3’272.00,5.5364%,1’983.35,3.3559%
59’200,3’280.00,5.5405%,1’992.00,3.3649%
59’300,3’288.00,5.5447%,1’995.35,3.3649%
59’400,3’296.00,5.5488%,2’004.00,3.3737%
59’500,3’304.00,5.5529%,2’007.35,3.3737%
59’600,3’312.00,5.5570%,2’016.00,3.3826%
59’700,3’320.00,5.5611%,2’019.40,3.3826%
59’800,3’328.00,5.5652%,2’028.00,3.3913%
59’900,3’336.00,5.5693%,2’031.40,3.3913%
60’000,3’344.00,5.5733%,2’040.00,3.4000%
60’100,3’352.00,5.5774%,2’043.40,3.4000%
60’200,3’360.00,5.5814%,2’052.00,3.4086%
60’300,3’369.20,5.5874%,2’055.40,3.4086%
60’400,3’378.40,5.5934%,2’064.00,3.4172%
60’500,3’387.60,5.5993%,2’067.40,3.4172%
60’600,3’396.80,5.6053%,2’076.00,3.4257%
60’700,3’406.00,5.6112%,2’079.45,3.4257%
60’800,3’415.20,5.6171%,2’088.00,3.4342%
60’900,3’424.40,5.6230%,2’091.45,3.4342%
61’000,3’433.60,5.6289%,2’100.00,3.4426%
61’100,3’442.80,5.6347%,2’103.45,3.4426%
61’200,3’452.00,5.6405%,2’112.00,3.4510%
61’300,3’461.20,5.6463%,2’115.45,3.4510%
61’400,3’470.40,5.6521%,2’124.00,3.4593%
61’500,3’479.60,5.6579%,2’127.45,3.4593%
61’600,3’488.80,5.6636%,2’136.00,3.4675%
61’700,3’498.00,5.6694%,2’139.45,3.4675%
61’800,3’507.20,5.6751%,2’148.00,3.4757%
61’900,3’516.40,5.6808%,2’151.50,3.4757%
62’000,3’525.60,5.6865%,2’160.00,3.4839%
62’100,3’534.80,5.6921%,2’163.50,3.4839%
62’200,3’544.00,5.6977%,2’172.00,3.4920%
62’300,3’553.20,5.7034%,2’175.50,3.4920%
62’400,3’562.40,5.7090%,2’184.00,3.5000%
62’500,3’571.60,5.7146%,2’187.50,3.5000%
62’600,3’580.80,5.7201%,2’196.00,3.5080%
62’700,3’590.00,5.7257%,2’199.50,3.5080%
62’800,3’599.20,5.7312%,2’208.00,3.5159%
62’900,3’608.40,5.7367%,2’211.50,3.5159%
63’000,3’617.60,5.7422%,2’220.00,3.5238%
63’100,3’626.80,5.7477%,2’223.50,3.5238%
63’200,3’636.00,5.7532%,2’232.00,3.5316%
